5.0
{'shoulderCB': 122.00781631656083, 'shoulderR': 1082.1690278456276, 'shoulderLR': 121.7440156326331, 'elbow': 42.433952125061055, 'wrist': 67.63556424035173, 'finger1': 81.16267708842206, 'finger2': 80.81094284318515, 'finger3': 81.16267708842206, 'finger4': 81.16267708842206, 'finger5': 81.33854421104056}
{'shoulderCB': 121.7440156326331, 'shoulderR': 1091.5486077186124, 'shoulderLR': 121.7440156326331, 'elbow': 42.06932095749877, 'wrist': 67.63556424035173, 'finger1': 81.16267708842206, 'finger2': 80.9868099658036, 'finger3': 81.16267708842206, 'finger4': 81.16267708842206, 'finger5': 81.16267708842206}
{'shoulderCB': 122.00781631656083, 'shoulderR': 1082.1690278456276, 'shoulderLR': 121.21641426477773, 'elbow': 42.06932095749877, 'wrist': 67.63556424035173, 'finger1': 81.33854421104056, 'finger2': 81.16267708842206, 'finger3': 80.9868099658036, 'finger4': 81.16267708842206, 'finger5': 81.16267708842206}
{'shoulderCB': 128.07523204689787, 'shoulderR': 1143.1362970200294, 'shoulderLR': 128.6028334147533, 'elbow': 44.621739130434776, 'wrist': 70.85979482169029, 'finger1': 85.91108939912066, 'finger2': 85.7352222765022, 'finger3': 85.91108939912066, 'finger4': 85.91108939912066, 'finger5': 86.08695652173911}
{'shoulderCB': 163.95212506106495, 'shoulderR': 1457.3522227650217, 'shoulderLR': 164.2159257449927, 'elbow': 56.65456765999022, 'wrist': 91.23106985832928, 'finger1': 109.47728382999513, 'finger2': 109.30141670737663, 'finger3': 110.180752320469, 'finger4': 109.65315095261359, 'finger5': 108.94968246213972}
{'shoulderCB': 200.09281875915977, 'shoulderR': 1776.2579384465068, 'shoulderLR': 199.56521739130434, 'elbow': 69.14318514899854, 'wrist': 111.16267708842209, 'finger1': 133.3952125061065, 'finger2': 133.21934538348802, 'finger3': 133.04347826086956, 'finger4': 133.3952125061065, 'finger5': 133.3952125061065}
{'shoulderCB': 222.77967757694185, 'shoulderR': 1982.6086956521738, 'shoulderLR': 223.30727894479728, 'elbow': 77.16507083536884, 'wrist': 123.91304347826086, 'finger1': 148.69565217391303, 'finger2': 149.39912066438688, 'finger3': 148.87151929653152, 'finger4': 148.51978505129458, 'finger5': 148.69565217391303}
{'shoulderCB': 222.51587689301417, 'shoulderR': 1975.5740107474355, 'shoulderLR': 222.51587689301417, 'elbow': 76.80043966780654, 'wrist': 123.03370786516854, 'finger1': 148.34391792867612, 'finger2': 148.16805080605766, 'finger3': 147.99218368343915, 'finger4': 148.34391792867612, 'finger5': 148.16805080605766}
{'shoulderCB': 237.28871519296533, 'shoulderR': 2111.5779189057157, 'shoulderLR': 237.8163165608207, 'elbow': 82.08759159745969, 'wrist': 131.97361993160723, 'finger1': 158.5442110405471, 'finger2': 158.5442110405471, 'finger3': 158.5442110405471, 'finger4': 158.36834391792866, 'finger5': 158.36834391792866}
{'shoulderCB': 270.0, 'shoulderR': 2400.0, 'shoulderLR': 270.0, 'elbow': 93.3, 'wrist': 150.0, 'finger1': 180.0, 'finger2': 180.0, 'finger3': 180.0, 'finger4': 180.0, 'finger5': 180.0}
{'shoulderCB': 270.0, 'shoulderR': 2400.0, 'shoulderLR': 270.0, 'elbow': 93.3, 'wrist': 150.0, 'finger1': 180.0, 'finger2': 180.0, 'finger3': 180.0, 'finger4': 180.0, 'finger5': 180.0}
{'shoulderCB': 230.16609672691743, 'shoulderR': 2043.5759648265755, 'shoulderLR': 229.63849535906206, 'elbow': 79.35285784074256, 'wrist': 127.57694186614559, 'finger1': 152.9164631167562, 'finger2': 153.26819736199317, 'finger3': 153.44406448461163, 'finger4': 152.9164631167562, 'finger5': 152.9164631167562}
{'shoulderCB': 170.81094284318516, 'shoulderR': 1515.9745969711776, 'shoulderLR': 170.28334147532973, 'elbow': 58.6600390815828, 'wrist': 94.60185637518317, 'finger1': 112.99462628236445, 'finger2': 113.34636052760136, 'finger3': 113.1704934049829, 'finger4': 113.34636052760136, 'finger5': 112.99462628236445}
{'shoulderCB': 117.25940400586222, 'shoulderR': 1042.305813385442, 'shoulderLR': 116.99560332193454, 'elbow': 40.519638495359054, 'wrist': 65.14411333659012, 'finger1': 78.17293600390815, 'finger2': 78.17293600390815, 'finger3': 78.17293600390815, 'finger4': 77.11773326819737, 'finger5': 77.99706888128969}
{'shoulderCB': 67.92867611138249, 'shoulderR': 606.1553492916465, 'shoulderLR': 67.6648754274548, 'elbow': 23.381973619931603, 'wrist': 37.59159745969711, 'finger1': 45.109916951636535, 'finger2': 45.109916951636535, 'finger3': 45.8133854421104, 'finger4': 44.75818270639962, 'finger5': 44.93404982901808}
{'shoulderCB': 56.585246702491474, 'shoulderR': 502.97997068881307, 'shoulderLR': 56.585246702491474, 'elbow': 19.55334636052761, 'wrist': 31.436248168050817, 'finger1': 37.72349780166098, 'finger2': 37.89936492427944, 'finger3': 37.89936492427944, 'finger4': 37.89936492427944, 'finger5': 37.72349780166098}
{'shoulderCB': 173.18514899853443, 'shoulderR': 1539.4235466536393, 'shoulderLR': 173.18514899853443, 'elbow': 60.11856375183195, 'wrist': 96.06741573033707, 'finger1': 115.8085002442599, 'finger2': 115.6326331216414, 'finger3': 114.75329750854908, 'finger4': 115.6326331216414, 'finger5': 115.8085002442599}
{'shoulderCB': 270.0, 'shoulderR': 2400.0, 'shoulderLR': 270.0, 'elbow': 93.3, 'wrist': 150.0, 'finger1': 180.0, 'finger2': 180.0, 'finger3': 180.0, 'finger4': 180.0, 'finger5': 180.0}
{'shoulderCB': 270.0, 'shoulderR': 2400.0, 'shoulderLR': 270.0, 'elbow': 93.3, 'wrist': 150.0, 'finger1': 180.0, 'finger2': 180.0, 'finger3': 180.0, 'finger4': 180.0, 'finger5': 180.0}
{'shoulderCB': 270.0, 'shoulderR': 2400.0, 'shoulderLR': 270.0, 'elbow': 93.3, 'wrist': 150.0, 'finger1': 180.0, 'finger2': 180.0, 'finger3': 180.0, 'finger4': 180.0, 'finger5': 180.0}
{'shoulderCB': 181.8905715681485, 'shoulderR': 1616.8050806057643, 'shoulderLR': 181.36297020029312, 'elbow': 62.579824132877384, 'wrist': 100.7572056668295, 'finger1': 120.73277967757696, 'finger2': 120.90864680019541, 'finger3': 120.90864680019541, 'finger4': 120.55691255495846, 'finger5': 120.38104543234}
{'shoulderCB': 74.25989252564726, 'shoulderR': 657.7430385930629, 'shoulderLR': 74.25989252564726, 'elbow': 25.56976062530532, 'wrist': 41.10893991206643, 'finger1': 49.33072789447972, 'finger2': 48.80312652662431, 'finger3': 48.97899364924281, 'finger4': 49.154860771861266, 'finger5': 48.97899364924281}
